CPF_Number	Operator_ID	Operator_Name	Operator_Searchable_Name	Region	Pipeline_Type	How_Discovered?	Case_Type	Notice_Actions	Cited_Regulations	Violation_Category	Proposed_Penalties	Assessed_Penalties	Collected_Penalties	Case_Status	Opened_Date	Latest_Order_Type	Latest_Order_Date	Closed_Date	Notice_Sent_Date	Operator_Response_Date	Operator_Request_Hearing_Date	Hearing_Date	Final_Order_Date	Petition_for_Reconsideration_Date	Decision_on_Petition_Date	Consent_Order_Date	Corrective_Action_Order_Date	Order_Direct_Amendment_Date	Safety_Order_Date	Penalty_Collected_Date	Region_Withdrawn_Date	Opened_Year	Closed_Year	Order_Issued_Ind	Final_Order_Ind	Petition_for_Reconsideration_Ind	Decision_on_Petition_Ind	Consent_Order_Ind	Corrective_Action_Order_Ind	Order_Direct_Amendment_Ind	Safety_Order_Ind	Penalty_Collected_Ind	Case_Closure_Ind	Proposed_Civil_Penalty_Ind	Proposed_Compliance_Order_Ind	Penalty_Reduction_Ind	Basis_for_penalty_reduction	Report_Type	Report_Number	WMS_Activity_Seq	Data_Source	Data_as_of
32026023CAO	395	AMOCO OIL CO	AMOCO OIL CO	Central	INTERSTATE LIQUID	Failure Investigation	Corrective Action Order							OPEN	8/3/26	Corrective Action Order	8/3/26										8/3/26					2026		Yes					Yes											26-379109	WMS	08/04/2026 12PM
42026012NOPV	40329	NAVIGATOR PANHANDLE HOLDCO LLC	NAVIGATOR PANHANDLE HOLDCO LLC	Southwest	INTERSTATE LIQUID	Integrated	Notice of Probable Violation	"CO, CP"	"195.452(g)(1),  195.452(l)(1)(ii)"	Integrity Management	62900	62900	62900	OPEN	2/12/26	Final Order	4/7/26		2/12/26	3/19/26			4/7/26							3/25/26		2026		Yes	Yes							Yes		Yes	Yes					23-266706	WMS	08/04/2026 12PM
22026010NOPV	2552	COLONIAL PIPELINE CO	COLONIAL PIPELINE CO	Southern	INTERSTATE LIQUID	Construction	Notice of Probable Violation	CP	195.505(b)	Operator Qualification	87800			OPEN	7/10/26				7/10/26													2026												Yes						26-363258	WMS	08/04/2026 12PM
12026033NOA	39491	EQT MIDSTREAM COMPANY LLC	EQT MIDSTREAM COMPANY LLC	Eastern	INTERSTATE GAS TRANSMISSION	PA Program	Notice of Amendment	NOA	"192.616(a),  192.616(b)"	Public Awareness				OPEN	7/2/26				7/2/26													2026																		25-329692	WMS	08/04/2026 12PM
12026056WL	17360	"RICHMOND, CITY OF"	"RICHMOND, CITY OF"	Eastern	DISTRIBUTION MUNICIPAL	60106 Agreement	Warning Letter	WI	192.605(a)	OME Procedural Manual				CLOSED	6/30/26			6/30/26	6/30/26													2026	2026										Yes							26-373633	WMS	08/04/2026 12PM
